;fecha;total_uci;Localizacion;Provincia
98;2020-02-25;;Aragon, Spain;Aragon
99;2020-02-26;;Aragon, Spain;Aragon
100;2020-02-27;;Aragon, Spain;Aragon
101;2020-02-28;;Aragon, Spain;Aragon
102;2020-02-29;;Aragon, Spain;Aragon
103;2020-03-01;;Aragon, Spain;Aragon
104;2020-03-02;;Aragon, Spain;Aragon
105;2020-03-03;;Aragon, Spain;Aragon
106;2020-03-04;;Aragon, Spain;Aragon
107;2020-03-05;;Aragon, Spain;Aragon
108;2020-03-06;;Aragon, Spain;Aragon
109;2020-03-07;;Aragon, Spain;Aragon
110;2020-03-08;;Aragon, Spain;Aragon
111;2020-03-09;3,0;Aragon, Spain;Aragon
112;2020-03-10;3,0;Aragon, Spain;Aragon
113;2020-03-11;3,0;Aragon, Spain;Aragon
114;2020-03-12;3,0;Aragon, Spain;Aragon
115;2020-03-13;3,0;Aragon, Spain;Aragon
116;2020-03-14;5,0;Aragon, Spain;Aragon
117;2020-03-15;5,0;Aragon, Spain;Aragon
118;2020-03-16;7,0;Aragon, Spain;Aragon
119;2020-03-17;9,0;Aragon, Spain;Aragon
120;2020-03-18;9,0;Aragon, Spain;Aragon
121;2020-03-19;14,0;Aragon, Spain;Aragon
122;2020-03-20;28,0;Aragon, Spain;Aragon
123;2020-03-21;33,0;Aragon, Spain;Aragon
124;2020-03-22;45,0;Aragon, Spain;Aragon
125;2020-03-23;52,0;Aragon, Spain;Aragon
126;2020-03-24;66,0;Aragon, Spain;Aragon
127;2020-03-25;75,0;Aragon, Spain;Aragon
128;2020-03-26;93,0;Aragon, Spain;Aragon
129;2020-03-27;114,0;Aragon, Spain;Aragon
130;2020-03-28;124,0;Aragon, Spain;Aragon
131;2020-03-29;145,0;Aragon, Spain;Aragon
132;2020-03-30;148,0;Aragon, Spain;Aragon
133;2020-03-31;157,0;Aragon, Spain;Aragon
134;2020-04-01;160,0;Aragon, Spain;Aragon
135;2020-04-02;170,0;Aragon, Spain;Aragon
136;2020-04-03;172,0;Aragon, Spain;Aragon
137;2020-04-04;182,0;Aragon, Spain;Aragon
138;2020-04-05;182,0;Aragon, Spain;Aragon
139;2020-04-06;186,0;Aragon, Spain;Aragon
140;2020-04-07;196,0;Aragon, Spain;Aragon
141;2020-04-08;204,0;Aragon, Spain;Aragon
142;2020-04-09;210,0;Aragon, Spain;Aragon
143;2020-04-10;212,0;Aragon, Spain;Aragon
144;2020-04-11;215,0;Aragon, Spain;Aragon
145;2020-04-12;221,0;Aragon, Spain;Aragon
146;2020-04-13;223,0;Aragon, Spain;Aragon
147;2020-04-14;229,0;Aragon, Spain;Aragon
148;2020-04-15;231,0;Aragon, Spain;Aragon
149;2020-04-16;235,0;Aragon, Spain;Aragon
150;2020-04-17;235,0;Aragon, Spain;Aragon
151;2020-04-18;237,0;Aragon, Spain;Aragon
152;2020-04-19;240,0;Aragon, Spain;Aragon
153;2020-04-20;242,0;Aragon, Spain;Aragon
154;2020-04-21;244,0;Aragon, Spain;Aragon
155;2020-04-22;246,0;Aragon, Spain;Aragon
156;2020-04-23;247,0;Aragon, Spain;Aragon
157;2020-04-24;248,0;Aragon, Spain;Aragon
158;2020-04-25;249,0;Aragon, Spain;Aragon
159;2020-04-26;251,0;Aragon, Spain;Aragon
160;2020-04-27;251,0;Aragon, Spain;Aragon
161;2020-04-28;252,0;Aragon, Spain;Aragon
162;2020-04-29;252,0;Aragon, Spain;Aragon
163;2020-04-30;252,0;Aragon, Spain;Aragon
164;2020-05-01;253,0;Aragon, Spain;Aragon
165;2020-05-02;253,0;Aragon, Spain;Aragon
166;2020-05-03;253,0;Aragon, Spain;Aragon
167;2020-05-04;253,0;Aragon, Spain;Aragon
168;2020-05-05;253,0;Aragon, Spain;Aragon
169;2020-05-06;253,0;Aragon, Spain;Aragon
170;2020-05-07;255,0;Aragon, Spain;Aragon
171;2020-05-08;255,0;Aragon, Spain;Aragon
172;2020-05-09;255,0;Aragon, Spain;Aragon
173;2020-05-10;255,0;Aragon, Spain;Aragon
174;2020-05-11;255,0;Aragon, Spain;Aragon
175;2020-05-12;255,0;Aragon, Spain;Aragon
176;2020-05-13;255,0;Aragon, Spain;Aragon
177;2020-05-14;255,0;Aragon, Spain;Aragon
178;2020-05-15;255,0;Aragon, Spain;Aragon
179;2020-05-16;255,0;Aragon, Spain;Aragon
180;2020-05-17;255,0;Aragon, Spain;Aragon
181;2020-05-18;255,0;Aragon, Spain;Aragon
182;2020-05-19;255,0;Aragon, Spain;Aragon
183;2020-05-20;255,0;Aragon, Spain;Aragon
184;2020-05-21;256,0;Aragon, Spain;Aragon
185;2020-05-22;256,0;Aragon, Spain;Aragon
186;2020-05-23;257,0;Aragon, Spain;Aragon
187;2020-05-24;257,0;Aragon, Spain;Aragon
188;2020-02-21;;Asturias, Spain;Asturias
189;2020-02-22;;Asturias, Spain;Asturias
190;2020-02-23;;Asturias, Spain;Asturias
191;2020-02-24;;Asturias, Spain;Asturias
192;2020-02-25;;Asturias, Spain;Asturias
193;2020-02-26;;Asturias, Spain;Asturias
194;2020-02-27;;Asturias, Spain;Asturias
195;2020-02-28;;Asturias, Spain;Asturias
196;2020-02-29;;Asturias, Spain;Asturias
197;2020-03-01;1,0;Asturias, Spain;Asturias
198;2020-03-02;1,0;Asturias, Spain;Asturias
199;2020-03-03;1,0;Asturias, Spain;Asturias
200;2020-03-04;1,0;Asturias, Spain;Asturias
201;2020-03-05;1,0;Asturias, Spain;Asturias
202;2020-03-06;1,0;Asturias, Spain;Asturias
203;2020-03-07;1,0;Asturias, Spain;Asturias
204;2020-03-08;1,0;Asturias, Spain;Asturias
205;2020-03-09;1,0;Asturias, Spain;Asturias
206;2020-03-10;1,0;Asturias, Spain;Asturias
207;2020-03-11;2,0;Asturias, Spain;Asturias
208;2020-03-12;2,0;Asturias, Spain;Asturias
209;2020-03-13;2,0;Asturias, Spain;Asturias
210;2020-03-14;2,0;Asturias, Spain;Asturias
211;2020-03-15;3,0;Asturias, Spain;Asturias
212;2020-03-16;3,0;Asturias, Spain;Asturias
213;2020-03-17;6,0;Asturias, Spain;Asturias
214;2020-03-18;9,0;Asturias, Spain;Asturias
215;2020-03-19;11,0;Asturias, Spain;Asturias
216;2020-03-20;13,0;Asturias, Spain;Asturias
217;2020-03-21;18,0;Asturias, Spain;Asturias
218;2020-03-22;22,0;Asturias, Spain;Asturias
219;2020-03-23;25,0;Asturias, Spain;Asturias
220;2020-03-24;29,0;Asturias, Spain;Asturias
221;2020-03-25;39,0;Asturias, Spain;Asturias
222;2020-03-26;48,0;Asturias, Spain;Asturias
223;2020-03-27;56,0;Asturias, Spain;Asturias
224;2020-03-28;59,0;Asturias, Spain;Asturias
225;2020-03-29;63,0;Asturias, Spain;Asturias
226;2020-03-30;67,0;Asturias, Spain;Asturias
227;2020-03-31;71,0;Asturias, Spain;Asturias
228;2020-04-01;79,0;Asturias, Spain;Asturias
229;2020-04-02;84,0;Asturias, Spain;Asturias
230;2020-04-03;88,0;Asturias, Spain;Asturias
231;2020-04-04;91,0;Asturias, Spain;Asturias
232;2020-04-05;93,0;Asturias, Spain;Asturias
233;2020-04-06;94,0;Asturias, Spain;Asturias
234;2020-04-07;96,0;Asturias, Spain;Asturias
235;2020-04-08;97,0;Asturias, Spain;Asturias
236;2020-04-09;100,0;Asturias, Spain;Asturias
237;2020-04-10;100,0;Asturias, Spain;Asturias
238;2020-04-11;101,0;Asturias, Spain;Asturias
239;2020-04-12;102,0;Asturias, Spain;Asturias
240;2020-04-13;105,0;Asturias, Spain;Asturias
241;2020-04-14;109,0;Asturias, Spain;Asturias
242;2020-04-15;111,0;Asturias, Spain;Asturias
243;2020-04-16;112,0;Asturias, Spain;Asturias
244;2020-04-17;113,0;Asturias, Spain;Asturias
245;2020-04-18;113,0;Asturias, Spain;Asturias
246;2020-04-19;114,0;Asturias, Spain;Asturias
247;2020-04-20;115,0;Asturias, Spain;Asturias
248;2020-04-21;116,0;Asturias, Spain;Asturias
249;2020-04-22;116,0;Asturias, Spain;Asturias
250;2020-04-23;116,0;Asturias, Spain;Asturias
251;2020-04-24;117,0;Asturias, Spain;Asturias
252;2020-04-25;117,0;Asturias, Spain;Asturias
253;2020-04-26;117,0;Asturias, Spain;Asturias
254;2020-04-27;117,0;Asturias, Spain;Asturias
255;2020-04-28;117,0;Asturias, Spain;Asturias
256;2020-04-29;117,0;Asturias, Spain;Asturias
257;2020-04-30;117,0;Asturias, Spain;Asturias
258;2020-05-01;118,0;Asturias, Spain;Asturias
259;2020-05-02;120,0;Asturias, Spain;Asturias
260;2020-05-03;120,0;Asturias, Spain;Asturias
261;2020-05-04;120,0;Asturias, Spain;Asturias
262;2020-05-05;120,0;Asturias, Spain;Asturias
263;2020-05-06;120,0;Asturias, Spain;Asturias
264;2020-05-07;121,0;Asturias, Spain;Asturias
265;2020-05-08;121,0;Asturias, Spain;Asturias
266;2020-05-09;121,0;Asturias, Spain;Asturias
267;2020-05-10;121,0;Asturias, Spain;Asturias
268;2020-05-11;121,0;Asturias, Spain;Asturias
269;2020-05-12;121,0;Asturias, Spain;Asturias
270;2020-05-13;121,0;Asturias, Spain;Asturias
271;2020-05-14;121,0;Asturias, Spain;Asturias
272;2020-05-15;121,0;Asturias, Spain;Asturias
273;2020-05-16;121,0;Asturias, Spain;Asturias
274;2020-05-17;121,0;Asturias, Spain;Asturias
275;2020-05-18;121,0;Asturias, Spain;Asturias
276;2020-05-19;121,0;Asturias, Spain;Asturias
277;2020-05-20;121,0;Asturias, Spain;Asturias
278;2020-05-21;121,0;Asturias, Spain;Asturias
279;2020-05-22;121,0;Asturias, Spain;Asturias
280;2020-05-23;121,0;Asturias, Spain;Asturias
281;2020-05-24;121,0;Asturias, Spain;Asturias
282;2020-02-21;;Baleares, Spain;Baleares
283;2020-02-22;;Baleares, Spain;Baleares
284;2020-02-23;;Baleares, Spain;Baleares
285;2020-02-24;;Baleares, Spain;Baleares
286;2020-02-25;;Baleares, Spain;Baleares
287;2020-02-26;;Baleares, Spain;Baleares
288;2020-02-27;;Baleares, Spain;Baleares
289;2020-02-28;;Baleares, Spain;Baleares
290;2020-02-29;;Baleares, Spain;Baleares
291;2020-03-01;;Baleares, Spain;Baleares
292;2020-03-02;;Baleares, Spain;Baleares
293;2020-03-03;;Baleares, Spain;Baleares
294;2020-03-04;;Baleares, Spain;Baleares
295;2020-03-05;;Baleares, Spain;Baleares
296;2020-03-06;;Baleares, Spain;Baleares
297;2020-03-07;;Baleares, Spain;Baleares
298;2020-03-08;;Baleares, Spain;Baleares
299;2020-03-09;1,0;Baleares, Spain;Baleares
300;2020-03-10;1,0;Baleares, Spain;Baleares
301;2020-03-11;1,0;Baleares, Spain;Baleares
302;2020-03-12;2,0;Baleares, Spain;Baleares
303;2020-03-13;2,0;Baleares, Spain;Baleares
304;2020-03-14;2,0;Baleares, Spain;Baleares
305;2020-03-15;2,0;Baleares, Spain;Baleares
306;2020-03-16;4,0;Baleares, Spain;Baleares
307;2020-03-17;4,0;Baleares, Spain;Baleares
308;2020-03-18;4,0;Baleares, Spain;Baleares
309;2020-03-19;7,0;Baleares, Spain;Baleares
310;2020-03-20;10,0;Baleares, Spain;Baleares
311;2020-03-21;14,0;Baleares, Spain;Baleares
312;2020-03-22;14,0;Baleares, Spain;Baleares
313;2020-03-23;27,0;Baleares, Spain;Baleares
314;2020-03-24;35,0;Baleares, Spain;Baleares
315;2020-03-25;40,0;Baleares, Spain;Baleares
316;2020-03-26;43,0;Baleares, Spain;Baleares
317;2020-03-27;46,0;Baleares, Spain;Baleares
318;2020-03-28;59,0;Baleares, Spain;Baleares
319;2020-03-29;71,0;Baleares, Spain;Baleares
320;2020-03-30;80,0;Baleares, Spain;Baleares
321;2020-03-31;85,0;Baleares, Spain;Baleares
322;2020-04-01;94,0;Baleares, Spain;Baleares
323;2020-04-02;104,0;Baleares, Spain;Baleares
324;2020-04-03;111,0;Baleares, Spain;Baleares
325;2020-04-04;113,0;Baleares, Spain;Baleares
326;2020-04-05;119,0;Baleares, Spain;Baleares
327;2020-04-06;120,0;Baleares, Spain;Baleares
328;2020-04-07;123,0;Baleares, Spain;Baleares
329;2020-04-08;128,0;Baleares, Spain;Baleares
330;2020-04-09;131,0;Baleares, Spain;Baleares
331;2020-04-10;135,0;Baleares, Spain;Baleares
332;2020-04-11;136,0;Baleares, Spain;Baleares
333;2020-04-12;141,0;Baleares, Spain;Baleares
334;2020-04-13;142,0;Baleares, Spain;Baleares
335;2020-04-14;144,0;Baleares, Spain;Baleares
336;2020-04-15;147,0;Baleares, Spain;Baleares
337;2020-04-16;150,0;Baleares, Spain;Baleares
338;2020-04-17;150,0;Baleares, Spain;Baleares
339;2020-04-18;155,0;Baleares, Spain;Baleares
340;2020-04-19;158,0;Baleares, Spain;Baleares
341;2020-04-20;159,0;Baleares, Spain;Baleares
342;2020-04-21;159,0;Baleares, Spain;Baleares
343;2020-04-22;163,0;Baleares, Spain;Baleares
344;2020-04-23;162,0;Baleares, Spain;Baleares
345;2020-04-24;162,0;Baleares, Spain;Baleares
346;2020-04-25;162,0;Baleares, Spain;Baleares
347;2020-04-26;162,0;Baleares, Spain;Baleares
348;2020-04-27;162,0;Baleares, Spain;Baleares
349;2020-04-28;162,0;Baleares, Spain;Baleares
350;2020-04-29;162,0;Baleares, Spain;Baleares
351;2020-04-30;163,0;Baleares, Spain;Baleares
352;2020-05-01;163,0;Baleares, Spain;Baleares
353;2020-05-02;163,0;Baleares, Spain;Baleares
354;2020-05-03;163,0;Baleares, Spain;Baleares
355;2020-05-04;163,0;Baleares, Spain;Baleares
356;2020-05-05;164,0;Baleares, Spain;Baleares
357;2020-05-06;164,0;Baleares, Spain;Baleares
358;2020-05-07;164,0;Baleares, Spain;Baleares
359;2020-05-08;164,0;Baleares, Spain;Baleares
360;2020-05-09;165,0;Baleares, Spain;Baleares
361;2020-05-10;165,0;Baleares, Spain;Baleares
362;2020-05-11;165,0;Baleares, Spain;Baleares
363;2020-05-12;166,0;Baleares, Spain;Baleares
364;2020-05-13;168,0;Baleares, Spain;Baleares
365;2020-05-14;168,0;Baleares, Spain;Baleares
366;2020-05-15;168,0;Baleares, Spain;Baleares
367;2020-05-16;168,0;Baleares, Spain;Baleares
368;2020-05-17;168,0;Baleares, Spain;Baleares
369;2020-05-18;168,0;Baleares, Spain;Baleares
370;2020-05-19;168,0;Baleares, Spain;Baleares
371;2020-05-20;168,0;Baleares, Spain;Baleares
372;2020-05-21;169,0;Baleares, Spain;Baleares
373;2020-05-22;168,0;Baleares, Spain;Baleares
374;2020-05-23;168,0;Baleares, Spain;Baleares
375;2020-05-24;168,0;Baleares, Spain;Baleares
376;2020-02-21;;Canarias, Spain;Canarias
377;2020-02-22;;Canarias, Spain;Canarias
378;2020-02-23;;Canarias, Spain;Canarias
379;2020-02-24;;Canarias, Spain;Canarias
380;2020-02-25;;Canarias, Spain;Canarias
381;2020-02-26;;Canarias, Spain;Canarias
382;2020-02-27;;Canarias, Spain;Canarias
383;2020-02-28;;Canarias, Spain;Canarias
384;2020-02-29;;Canarias, Spain;Canarias
385;2020-03-01;;Canarias, Spain;Canarias
386;2020-03-02;;Canarias, Spain;Canarias
387;2020-03-03;;Canarias, Spain;Canarias
388;2020-03-04;;Canarias, Spain;Canarias
389;2020-03-05;;Canarias, Spain;Canarias
390;2020-03-06;;Canarias, Spain;Canarias
391;2020-03-07;;Canarias, Spain;Canarias
392;2020-03-08;;Canarias, Spain;Canarias
393;2020-03-09;0,0;Canarias, Spain;Canarias
394;2020-03-10;1,0;Canarias, Spain;Canarias
395;2020-03-11;1,0;Canarias, Spain;Canarias
396;2020-03-12;3,0;Canarias, Spain;Canarias
397;2020-03-13;3,0;Canarias, Spain;Canarias
398;2020-03-14;6,0;Canarias, Spain;Canarias
399;2020-03-15;6,0;Canarias, Spain;Canarias
400;2020-03-16;9,0;Canarias, Spain;Canarias
401;2020-03-17;13,0;Canarias, Spain;Canarias
402;2020-03-18;17,0;Canarias, Spain;Canarias
403;2020-03-19;23,0;Canarias, Spain;Canarias
404;2020-03-20;25,0;Canarias, Spain;Canarias
405;2020-03-21;29,0;Canarias, Spain;Canarias
406;2020-03-22;32,0;Canarias, Spain;Canarias
407;2020-03-23;32,0;Canarias, Spain;Canarias
408;2020-03-24;36,0;Canarias, Spain;Canarias
409;2020-03-25;43,0;Canarias, Spain;Canarias
410;2020-03-26;45,0;Canarias, Spain;Canarias
411;2020-03-27;61,0;Canarias, Spain;Canarias
412;2020-03-28;68,0;Canarias, Spain;Canarias
413;2020-03-29;78,0;Canarias, Spain;Canarias
414;2020-03-30;84,0;Canarias, Spain;Canarias
415;2020-03-31;94,0;Canarias, Spain;Canarias
416;2020-04-01;110,0;Canarias, Spain;Canarias
417;2020-04-02;113,0;Canarias, Spain;Canarias
418;2020-04-03;120,0;Canarias, Spain;Canarias
419;2020-04-04;128,0;Canarias, Spain;Canarias
420;2020-04-05;129,0;Canarias, Spain;Canarias
421;2020-04-06;133,0;Canarias, Spain;Canarias
422;2020-04-07;137,0;Canarias, Spain;Canarias
423;2020-04-08;138,0;Canarias, Spain;Canarias
424;2020-04-09;140,0;Canarias, Spain;Canarias
425;2020-04-10;141,0;Canarias, Spain;Canarias
426;2020-04-11;144,0;Canarias, Spain;Canarias
427;2020-04-12;144,0;Canarias, Spain;Canarias
428;2020-04-13;145,0;Canarias, Spain;Canarias
429;2020-04-14;147,0;Canarias, Spain;Canarias
430;2020-04-15;152,0;Canarias, Spain;Canarias
431;2020-04-16;156,0;Canarias, Spain;Canarias
432;2020-04-17;159,0;Canarias, Spain;Canarias
433;2020-04-18;160,0;Canarias, Spain;Canarias
434;2020-04-19;162,0;Canarias, Spain;Canarias
435;2020-04-20;163,0;Canarias, Spain;Canarias
436;2020-04-21;164,0;Canarias, Spain;Canarias
437;2020-04-22;164,0;Canarias, Spain;Canarias
438;2020-04-23;169,0;Canarias, Spain;Canarias
439;2020-04-24;169,0;Canarias, Spain;Canarias
440;2020-04-25;171,0;Canarias, Spain;Canarias
441;2020-04-26;171,0;Canarias, Spain;Canarias
442;2020-04-27;171,0;Canarias, Spain;Canarias
443;2020-04-28;174,0;Canarias, Spain;Canarias
444;2020-04-29;175,0;Canarias, Spain;Canarias
445;2020-04-30;175,0;Canarias, Spain;Canarias
446;2020-05-01;175,0;Canarias, Spain;Canarias
447;2020-05-02;175,0;Canarias, Spain;Canarias
448;2020-05-03;175,0;Canarias, Spain;Canarias
449;2020-05-04;175,0;Canarias, Spain;Canarias
450;2020-05-05;176,0;Canarias, Spain;Canarias
451;2020-05-06;176,0;Canarias, Spain;Canarias
452;2020-05-07;176,0;Canarias, Spain;Canarias
453;2020-05-08;176,0;Canarias, Spain;Canarias
454;2020-05-09;178,0;Canarias, Spain;Canarias
455;2020-05-10;178,0;Canarias, Spain;Canarias
456;2020-05-11;178,0;Canarias, Spain;Canarias
457;2020-05-12;178,0;Canarias, Spain;Canarias
458;2020-05-13;178,0;Canarias, Spain;Canarias
459;2020-05-14;178,0;Canarias, Spain;Canarias
460;2020-05-15;178,0;Canarias, Spain;Canarias
461;2020-05-16;178,0;Canarias, Spain;Canarias
462;2020-05-17;178,0;Canarias, Spain;Canarias
463;2020-05-18;178,0;Canarias, Spain;Canarias
464;2020-05-19;178,0;Canarias, Spain;Canarias
465;2020-05-20;179,0;Canarias, Spain;Canarias
466;2020-05-21;179,0;Canarias, Spain;Canarias
467;2020-05-22;179,0;Canarias, Spain;Canarias
468;2020-05-23;179,0;Canarias, Spain;Canarias
469;2020-05-24;179,0;Canarias, Spain;Canarias
470;2020-02-21;;Cantabria, Spain;Cantabria
471;2020-02-22;;Cantabria, Spain;Cantabria
472;2020-02-23;;Cantabria, Spain;Cantabria
473;2020-02-24;;Cantabria, Spain;Cantabria
474;2020-02-25;;Cantabria, Spain;Cantabria
475;2020-02-26;;Cantabria, Spain;Cantabria
476;2020-02-27;;Cantabria, Spain;Cantabria
477;2020-02-28;;Cantabria, Spain;Cantabria
478;2020-02-29;;Cantabria, Spain;Cantabria
479;2020-03-01;;Cantabria, Spain;Cantabria
480;2020-03-02;;Cantabria, Spain;Cantabria
481;2020-03-03;;Cantabria, Spain;Cantabria
482;2020-03-04;;Cantabria, Spain;Cantabria
483;2020-03-05;;Cantabria, Spain;Cantabria
484;2020-03-06;;Cantabria, Spain;Cantabria
485;2020-03-07;;Cantabria, Spain;Cantabria
486;2020-03-08;;Cantabria, Spain;Cantabria
487;2020-03-09;0,0;Cantabria, Spain;Cantabria
488;2020-03-10;0,0;Cantabria, Spain;Cantabria
489;2020-03-11;0,0;Cantabria, Spain;Cantabria
490;2020-03-12;0,0;Cantabria, Spain;Cantabria
491;2020-03-13;0,0;Cantabria, Spain;Cantabria
492;2020-03-14;0,0;Cantabria, Spain;Cantabria
493;2020-03-15;0,0;Cantabria, Spain;Cantabria
494;2020-03-16;2,0;Cantabria, Spain;Cantabria
495;2020-03-17;2,0;Cantabria, Spain;Cantabria
496;2020-03-18;3,0;Cantabria, Spain;Cantabria
497;2020-03-19;4,0;Cantabria, Spain;Cantabria
498;2020-03-20;7,0;Cantabria, Spain;Cantabria
499;2020-03-21;9,0;Cantabria, Spain;Cantabria
500;2020-03-22;9,0;Cantabria, Spain;Cantabria
501;2020-03-23;14,0;Cantabria, Spain;Cantabria
502;2020-03-24;16,0;Cantabria, Spain;Cantabria
503;2020-03-25;18,0;Cantabria, Spain;Cantabria
504;2020-03-26;26,0;Cantabria, Spain;Cantabria
505;2020-03-27;29,0;Cantabria, Spain;Cantabria
506;2020-03-28;37,0;Cantabria, Spain;Cantabria
507;2020-03-29;40,0;Cantabria, Spain;Cantabria
508;2020-03-30;46,0;Cantabria, Spain;Cantabria
509;2020-03-31;50,0;Cantabria, Spain;Cantabria
510;2020-04-01;54,0;Cantabria, Spain;Cantabria
511;2020-04-02;57,0;Cantabria, Spain;Cantabria
512;2020-04-03;59,0;Cantabria, Spain;Cantabria
513;2020-04-04;60,0;Cantabria, Spain;Cantabria
514;2020-04-05;62,0;Cantabria, Spain;Cantabria
515;2020-04-06;65,0;Cantabria, Spain;Cantabria
